reaction_names,bridging_centrality,betweenness_centrality,clustering_coefficient,degree_log10,is_essential
2AGPEAT120,0.0,0.0,0.0,0.7781512503836436,False
APH120,0.9985546190308024,1.088515772083531,0.16666666666666666,0.6020599913279624,False
FA120ACPHi,2.398680609368642,3.2985464721306643,0.13333333333333333,1.2304489213782739,False
FACOAE120,2.308937020077366,3.7173938184883224,0.5278195488721804,1.568201724066995,False
LPLIPAL2A120,0.0,0.0,0.04433497536945813,1.462397997898956,False
LPLIPAL2E120,0.0,0.0,0.0,0.6020599913279624,False
LPLIPAL2G120,0.0,0.0,0.0,0.6020599913279624,False
2AGPGAT120,2.7113886672699095,3.438387395206172,0.0,0.9030899869919435,False
AACPS7,2.746783801186344,4.052979694271676,0.055213148433487416,1.7993405494535817,False
ACPPAT120,2.490391526519989,3.409207708055775,0.14074074074074075,1.2304489213782739,False
AACPS1,2.86099299080191,4.251231572428459,0.054504728720756596,1.806179973983887,False
AACPS2,2.9078188043460935,4.119233076969291,0.05593849416755037,1.792391689498254,False
AACPS3,2.8208050781038323,4.03221935072703,0.05593849416755037,1.792391689498254,False
AACPS4,2.8566765890509083,4.16287248213624,0.055213148433487416,1.7993405494535817,False
AACPS5,3.07634722816531,4.015232372526548,0.057724957555178265,1.7781512503836436,False
AACPS6,3.021508015777351,3.9603931601385893,0.057724957555178265,1.7781512503836436,False
AACPS8,2.435647610098166,3.274620097478361,0.06372218476062036,1.7403626894942439,False
AACPS9,2.917495221162723,3.9300843484707433,0.062459336369551074,1.7481880270062005,False
ACOATA,2.7555221651036472,4.934096210361369,0.24455089820359283,2.2013971243204513,False
EAR120x,2.688846677610522,3.040800061256529,0.023809523809523808,0.8450980400142568,False
EAR120y,2.688846677610522,3.040800061256529,0.023809523809523808,0.8450980400142568,False
MCOATA,2.6764857009264533,5.141620997057532,0.19876480967985882,2.1903316981702914,True
UAGAAT,2.550878828592189,4.5699263299040975,0.1517346549752192,1.863322860120456,True
3OXCOAT,1.8473118344045236,3.6639679436141197,0.5109985528219971,1.9242792860618816,False
ACACT1r,1.5854561448716358,3.549194021642147,0.539267548321465,2.0,False
ACACT2r,2.0137504998596514,4.01737513868059,0.5181818181818182,2.0086001717619175,False
ACACT3r,1.991917939036923,4.011710869626936,0.5139953987730062,2.012837224705172,False
ACACT4r,2.0443774552115115,4.060036543396564,0.5192570869990225,2.0086001717619175,False
ACACT5r,2.0092738658017106,4.025271942782661,0.5192570869990225,2.0086001717619175,False
ACACT6r,2.120975353923036,4.1363135333169385,0.5192570869990225,2.0086001717619175,False
ACACT7r,2.1768558169590753,4.19191109439333,0.5192570869990225,2.0086001717619175,False
ACACT8r,2.1968810286707248,4.211936306104979,0.5192570869990225,2.0086001717619175,False
ACALD,2.380044141662351,4.410575529429406,0.46161211699164345,2.03342375548695,False
