reaction,log10_bridging_centrality,log10_betweeness_centrality,clustering_coefficient,log10_degree,cascadeNum,is_essential
3OAS80,2.920052327221257,3.9537596917332287,0.19327731092436976,1.2041199826559248,4,0
3OXCOAT,1.8473118344045236,3.6639679436141197,0.5109985528219971,1.9242792860618816,0,0
4HTHRS,0,0,0,0,0,0
4PCP,2.7100374144939336,3.3394341130109906,0.10714285714285714,0.9030899869919435,0,0
5DGLCNR,3.1977726765713683,3.8210219669692687,0.2222222222222222,0.9030899869919435,0,0
5DOAN,3.4480865290941756,3.76564339813143,0.125,0.9030899869919435,0,1
A5PISO,2.2465109253967466,2.7046643410404294,0.4473684210526316,0.8450980400142568,0,1
AACPS1,2.86099299080191,4.251231572428459,0.054504728720756596,1.806179973983887,0,0
AACPS2,2.9078188043460935,4.119233076969291,0.05593849416755037,1.792391689498254,0,0
AACPS3,2.8208050781038323,4.03221935072703,0.05593849416755037,1.792391689498254,0,0
AACPS4,2.8566765890509083,4.16287248213624,0.055213148433487416,1.7993405494535817,0,0
AACPS5,3.07634722816531,4.015232372526548,0.057724957555178265,1.7781512503836436,0,0
AACPS6,3.021508015777351,3.9603931601385893,0.057724957555178265,1.7781512503836436,0,0
AACPS7,2.746783801186344,4.052979694271676,0.055213148433487416,1.7993405494535817,0,0
AACPS8,2.435647610098166,3.274620097478361,0.06372218476062036,1.7403626894942439,0,0
AACPS9,2.917495221162723,3.9300843484707433,0.062459336369551074,1.7481880270062005,0,0
AACTOOR,2.272433194373947,3.6239420325177143,0.038461538461538464,1.146128035678238,0,0
AADDGT,3.4104083256102036,3.4773551152408166,0.16666666666666666,0.6020599913279624,0,0
AAMYL,0,0,0.6666666666666666,0.6020599913279624,0,0
AB6PGH,0,0,0.6666666666666666,0.7781512503836436,0,0
ABTA,2.0582379079064648,3.773332303011649,0.5618253189401374,1.662757831681574,3,0
ABUTD,1.684892276895825,0.3231644408782321,0,0.3010299956639812,0,0
ACACCT,1.8869831792487184,2.7437961383323226,0.8087248322147651,1.3979400086720377,0,0
ACACT1r,1.5854561448716358,3.549194021642147,0.539267548321465,2,0,0
ACACT2r,2.0137504998596514,4.01737513868059,0.5181818181818182,2.0086001717619175,0,0
ACACT3r,1.991917939036923,4.011710869626936,0.5139953987730062,2.012837224705172,0,0
ACACT4r,2.0443774552115115,4.060036543396564,0.5192570869990225,2.0086001717619175,0,0
ACACT5r,2.0092738658017106,4.025271942782661,0.5192570869990225,2.0086001717619175,0,0
ACACT6r,2.120975353923036,4.1363135333169385,0.5192570869990225,2.0086001717619175,0,0
ACACT7r,2.1768558169590753,4.19191109439333,0.5192570869990225,2.0086001717619175,0,0
ACACT8r,2.1968810286707248,4.211936306104979,0.5192570869990225,2.0086001717619175,0,0
ACALD,2.380044141662351,4.410575529429406,0.46161211699164345,2.03342375548695,0,0
ACANTHAT,1.1612906843726074,2.4788040803576887,0.7333333333333333,1.7323937598229686,0,0
ACBIPGT,3.8103786663960513,3.7311974203484266,0.2,0.6989700043360189,0,0
ACCOAC,2.7617032944754603,3.380257463664981,0.7934782608695652,1.380211241711606,0,1
ACCOAL,2.8897580671139194,3.5682764461540333,0.3876363636363636,1.724275869600789,0,0
ACGAMK,2.9613891562707537,3.251423767633272,0.1,0.7781512503836436,0,0
ACGAMT,3.7162652714642768,4.001379126931204,0.14285714285714285,0.8450980400142568,0,0
ACGK,2.9743963276065566,2.6733663319425753,0,0.3010299956639812,0,1
ACGS,2.797534287625214,4.6737481317163825,0.3513665821358129,1.9294189257142926,1,1
ACHBS,2.0963680082263028,3.3635397366293165,0.18093093093093093,1.568201724066995,2,1
ACKr,2.4006537104490677,1.9008219835389346,0.1201923076923077,1.1760912590556813,0,0
ACLS,2.1077750894177876,3.3630475945210936,0.19126984126984126,1.5563025007672873,2,1
ACM6PH,3.0205621658245403,3.312651818275773,0.15,0.6989700043360189,0,0
ACMAMUT,2.7054438295886936,3.210394178173113,0.16666666666666666,0.8450980400142568,0,0
ACNML,0,0,0.4166666666666667,1.2041199826559248,1,0
ACOAD1f,2.268214562726135,3.9299240748121687,0.6014234875444839,1.7323937598229686,0,0
ACOAD2f,2.2795299779499905,3.9632968464365983,0.5812200137080192,1.7403626894942439,0,0
